ProjNum,Date,Hours,Stage,Complete?
502,10/13/10,1,3,0
496,10/7/10,1,3,0
504,10/14/10,1.75,2,0
487,9/1/10,0.75,1,0
470,9/15/10,1.5,,0
496,9/20/10,1.5,1,0
470,9/14/10,3,1,0
491,9/7/10,0.75,1,0
509,10/25/10,1.75,2,0
504,10/13/10,0.75,1,0
487,9/3/10,0.75,2,0
508,10/25/10,0.75,2,0
503,10/14/10,1.25,4,1
500,10/1/10,1,3,0
487,9/7/10,1.25,3,0
488,10/5/10,2.5,3,0
470,9/3/10,,3,0
488,9/9/10,0.75,2,0
501,10/22/10,1.25,5,1
496,9/24/10,2.25,3,0
511,10/26/10,0.75,1,0
458,9/6/10,2,5,1
470,9/13/10,2.5,3,0
481,9/1/10,2.25,3,0
499,10/4/10,0.75,2,0
470,9/24/10,0.75,5,1
505,11/3/10,2.5,3,0
504,10/26/10,1.5,3,0
499,9/24/10,1,1,0
504,11/3/10,2.5,3,0
498,9/27/10,0.75,2,0
487,9/10/10,0.75,3,0
493,9/21/10,1,4,1
505,10/25/10,1.25,2,0
505,10/20/10,1.5,2,0
470,9/9/10,0.75,3,0
488,10/13/10,2.25,3,0
509,10/22/10,0.75,1,0
491,9/9/10,1.25,4,1
498,10/28/10,1.5,5,0
500,9/28/10,0.75,1,0
501,10/18/10,1,4,1
505,10/19/10,1.5,2,0
506,10/19/10,0.75,1,0
505,10/22/10,1.25,2,0
494,9/14/10,1,1,0
504,10/25/10,3.25,3,0
511,11/2/10,0.75,2,0
488,10/1/10,0.75,3,0
511,10/28/10,1.5,2,0
486,9/8/10,1.75,3,0
489,9/14/10,1.25,4,1
502,10/15/10,1,4,1
496,9/30/10,,3,0
489,9/3/10,0.5,1,0
504,10/27/10,1.5,3,0
470,9/8/10,1.5,3,0
482,9/3/10,2,3,0
514,11/3/10,0.75,2,0
490,9/6/10,1,1,0
496,10/13/10,2.25,3,0
486,9/10/10,0.75,4,1
488,9/24/10,2,2,0
504,10/19/10,0.75,2,0
485,9/1/10,0.75,2,0
487,9/13/10,0.75,4,1
511,11/1/10,2,2,0
510,10/25/10,1,1,0
470,9/17/10,1.75,4,0
488,9/6/10,1.75,2,0
498,10/25/10,0.75,2,0
502,10/18/10,1,5,1
488,10/6/10,1.5,3,0
